first_name,gender,title,release_year,pre_release,post_release,impact_ratio
Viktor,M,Underworld,2003,72,253,2.4794520547945207
Bodie,M,The Wire,2002,93,325,2.4680851063829787
Dilan,M,The Rugrats Movie,1998,88,306,2.449438202247191
Danielle,M,Sisters,1973,29,102,2.433333333333333
Gregory,F,Mr. Arkadin,1955,37,128,2.3947368421052633
Princess,F,The Hidden Fortress,1958,84,281,2.3176470588235296
Katharina,F,Europa,1991,33,109,2.235294117647059
Jeffrey,F,Bells Are Ringing,1960,63,204,2.203125
Loki,M,Thor: Tales of Asgard,2011,36,116,2.1621621621621623
Noah,F,Muppets from Space,1999,33,106,2.1470588235294117
Hermione,F,Harry Potter and the Goblet of Fire,2005,44,137,2.066666666666667
Harold,F,The Marathon,1919,47,145,2.0416666666666665
Rain,F,Mortal Kombat: Annihilation,1997,44,134,2
Oakley,F,Cold Mountain,2003,53,160,1.9814814814814814
Megan,M,Pale Rider,1985,45,131,1.8695652173913044
Ellis,F,Cold Mountain,2003,79,228,1.8625
Sailor,F,Transformers,2007,85,235,1.744186046511628
Karen,F,Master of the House,1925,71,192,1.6805555555555556
Uma,F,Miss Congeniality,2000,49,131,1.64
Geoffrey,M,42nd Street,1933,46,119,1.553191489361702
Zia,F,Wristcutters: A Love Story,2006,86,216,1.4942528735632183
Princess,F,Around the World in Eighty Days,1956,73,183,1.4864864864864864
Sarah,M,Opening Night,1977,98,245,1.4848484848484849
Ellis,F,The Wire,2002,72,178,1.452054794520548
Baron,M,Singin' in the Rain,1952,47,115,1.4166666666666667
Ari,F,Entourage,2004,79,192,1.4125
Yuki,F,The Cat Returns,2002,44,107,1.4
Michaelangelo,M,Teenage Mutant Ninja Turtles,1990,98,234,1.3737373737373737
Echo,F,Every Which Way but Loose,1978,66,157,1.3582089552238805
Emily,M,Broadcast News,1987,47,112,1.3541666666666667
Passion,F,Point Break,1991,95,221,1.3125
Nathan,F,Mad Max 2: The Road Warrior,1981,53,115,1.1481481481481481
Susan,M,The Seventh Veil,1945,65,140,1.1363636363636365
Dede,F,La Pointe-Courte,1955,66,142,1.1343283582089552
Lars,M,The Searchers,1956,84,179,1.1176470588235294
Harleen,F,Batman Beyond: Return of the Joker,2000,50,106,1.0980392156862746
Cutter,M,Double Jeopardy,1999,74,156,1.0933333333333333
Noah,F,Little Black Book,2004,87,177,1.0227272727272727
Noah,F,The Aviator,2004,87,177,1.0227272727272727
Noah,F,The Notebook,2004,87,177,1.0227272727272727
Fox,M,Blades of Glory,2007,89,181,1.0222222222222221
Baby,M,My Brilliant Career,1979,68,135,0.9710144927536232
Scotty,M,The Long Voyage Home,1940,63,117,0.84375
Baylor,F,Joyful Noise,2012,81,149,0.8292682926829268
Boston,F,The Town,2010,70,120,0.704225352112676
Carter,F,Airheads,1994,75,127,0.6842105263157895
Maria,M,Häxan,1922,75,124,0.6447368421052632
De,M,Cronos,1993,69,112,0.6142857142857143
Julian,F,Blood Simple,1984,67,108,0.6029411764705882
Emily,M,When Harry Met Sally...,1989,66,106,0.5970149253731343
Baron,M,The Earrings of Madame de...,1953,68,106,0.5507246376811594
Jude,F,Elizabeth I,2005,99,145,0.46
Heston,M,Rocket Science,2007,80,110,0.37037037037037035
Mendy,M,Undisputed,2002,78,104,0.3291139240506329
Jude,F,Bridget Jones: The Edge of Reason,2004,94,121,0.28421052631578947
Young,F,Orpheus,1950,84,106,0.25882352941176473
Hermione,F,Harry Potter and the Order of the Phoenix,2007,97,121,0.24489795918367346
