name,gender,total_years,peak_year,peak_count,decade
Brooklee,F,1,2010,5,2010
Brookley,F,1,2010,5,2010
Calypso,F,1,2010,5,2010
Carlynn,F,1,2010,6,2010
Ceana,F,1,2010,6,2010
Chavi,F,1,2010,5,2010
Childnotnamed,F,1,2010,6,2010
Coopar,M,1,2010,13,2010
Cylee,F,1,2010,5,2010
Dabria,F,1,2010,5,2010
Daelen,M,1,2010,5,2010
Dafnee,F,1,2010,5,2010
Daiden,M,1,2010,6,2010
Dailon,M,1,2010,5,2010
Daire,M,1,2010,5,2010
Dayvian,M,1,2010,5,2010
Derriona,F,1,2010,5,2010
Devesh,M,1,2010,6,2010
Dhairya,M,1,2010,5,2010
Dinari,M,1,2010,6,2010
Efrayim,M,1,2010,5,2010
Eliot,F,1,2010,6,2010
Elnatan,M,1,2010,5,2010
Ethanjacob,M,1,2010,5,2010
Evangaline,F,1,2010,5,2010
Evanny,F,1,2010,7,2010
Evelett,F,1,2010,5,2010
Ghazal,F,1,2010,5,2010
Greidy,F,1,2010,6,2010
Gurneet,F,1,2010,7,2010
Haddon,M,1,2010,7,2010
Harshaan,M,1,2010,6,2010
Holten,M,1,2010,5,2010
Hudy,F,1,2010,5,2010
Ithan,M,1,2010,6,2010
Jacai,M,1,2010,5,2010
Jadarion,M,1,2010,6,2010
Jahmarion,M,1,2010,5,2010
Jahzaria,F,1,2010,5,2010
Jaiah,F,1,2010,5,2010
Jakyria,F,1,2010,5,2010
Jamyron,M,1,2010,5,2010
Jandiel,M,1,2010,5,2010
Jaryn,M,1,2010,5,2010
Jasani,M,1,2010,5,2010
Jasiri,M,1,2010,5,2010
Jasiyah,M,1,2010,6,2010
Jayan,M,1,2010,6,2010
Jayvier,M,1,2010,5,2010
Jeslin,F,1,2010,5,2010
Jhayden,M,1,2010,8,2010
Jona,M,1,2010,5,2010
Jonanthony,M,1,2010,5,2010
July,M,1,2010,5,2010
Kaisei,M,1,2010,5,2010
Kalliyan,F,1,2010,5,2010
Kalyan,M,1,2010,6,2010
Kamile,F,1,2010,5,2010
Kassia,F,1,2010,5,2010
Kayah,F,1,2010,5,2010
Kayelynn,F,1,2010,5,2010
Kaysan,M,1,2010,7,2010
Kaysean,M,1,2010,5,2010
Keisi,F,1,2010,5,2010
Kellan,F,1,2010,6,2010
Kennidy,F,1,2010,5,2010
Keny,M,1,2010,5,2010
Kenzli,F,1,2010,5,2010
Khaseem,M,1,2010,5,2010
Kiernan,F,1,2010,5,2010
Kinsley,M,1,2010,5,2010
Kiril,M,1,2010,5,2010
Lathen,M,1,2010,10,2010
Lexxi,F,1,2010,7,2010
Lexxie,F,1,2010,5,2010
Leylany,F,1,2010,5,2010
Liahna,F,1,2010,6,2010
Liav,M,1,2010,5,2010
Lilu,F,1,2010,5,2010
Loreley,F,1,2010,6,2010
Louden,M,1,2010,5,2010
Lundon,F,1,2010,5,2010
Maddon,M,1,2010,5,2010
Mailin,F,1,2010,6,2010
Makinlee,F,1,2010,5,2010
Makua,M,1,2010,5,2010
Makynli,F,1,2010,6,2010
Makynzi,F,1,2010,6,2010
Malosi,M,1,2010,5,2010
Marrion,M,1,2010,5,2010
Maryse,F,1,2010,5,2010
Mavrik,M,1,2010,5,2010
Mckaela,F,1,2010,5,2010
Mckinnley,F,1,2010,5,2010
Mery,F,1,2010,5,2010
Monzeratt,F,1,2010,5,2010
Nailani,F,1,2010,6,2010
Name,F,1,2010,11,2010
Nari,F,1,2010,5,2010
Neya,F,1,2010,5,2010
Niko,F,1,2010,5,2010
Nilmar,M,1,2010,5,2010
Nitika,F,1,2010,5,2010
Noriah,F,1,2010,5,2010
Nyair,M,1,2010,7,2010
Ornella,F,1,2010,5,2010
Osnas,F,1,2010,5,2010
Pater,M,1,2010,5,2010
Peightyn,F,1,2010,5,2010
Prestin,M,1,2010,5,2010
Quinlee,F,1,2010,5,2010
Raha,F,1,2010,5,2010
Rayane,M,1,2010,6,2010
Reeya,F,1,2010,6,2010
Rishit,M,1,2010,5,2010
Rouguiatou,F,1,2010,5,2010
Roxi,F,1,2010,5,2010
Sair,M,1,2010,7,2010
Sajan,M,1,2010,6,2010
Samorah,F,1,2010,5,2010
Sankalp,M,1,2010,5,2010
Sanyia,F,1,2010,5,2010
Saraiah,F,1,2010,5,2010
Senai,M,1,2010,5,2010
Shamyah,F,1,2010,5,2010
Sherlynn,F,1,2010,5,2010
Shravya,F,1,2010,6,2010
Shriyans,M,1,2010,6,2010
Sidi,M,1,2010,9,2010
Snigdha,F,1,2010,6,2010
Solay,F,1,2010,5,2010
Sonnie,M,1,2010,7,2010
Strummer,M,1,2010,6,2010
Suley,F,1,2010,6,2010
Suriyah,F,1,2010,6,2010
Syon,M,1,2010,7,2010
Syrah,F,1,2010,5,2010
Syrai,F,1,2010,6,2010
Tarynn,F,1,2010,5,2010
Taylin,M,1,2010,5,2010
Teyla,F,1,2010,8,2010
Tobechukwu,M,1,2010,5,2010
Toryn,F,1,2010,5,2010
Trenden,M,1,2010,5,2010
Trentyn,M,1,2010,5,2010
Tuleen,F,1,2010,5,2010
Tydus,M,1,2010,5,2010
Vitali,M,1,2010,6,2010
Wolfe,M,1,2010,7,2010
Wrigley,M,1,2010,5,2010
Xymena,F,1,2010,5,2010
Yagmur,F,1,2010,5,2010
Yann,M,1,2010,6,2010
Yaremi,F,1,2010,5,2010
Yari,F,1,2010,5,2010
Yariah,F,1,2010,5,2010
Yitel,F,1,2010,5,2010
Yosuf,M,1,2010,5,2010
Yulie,F,1,2010,5,2010
Zamyah,F,1,2010,5,2010
Zanyia,F,1,2010,5,2010
Zarin,F,1,2010,6,2010
Zaryiah,F,1,2010,5,2010
Zeba,F,1,2010,5,2010
Zekhi,M,1,2010,5,2010
Zen,F,1,2010,6,2010
Zyairah,F,1,2010,5,2010
Zyquavious,M,1,2010,6,2010
Abdurahman,M,1,2011,6,2010
Abyan,F,1,2011,5,2010
Adaleen,F,1,2011,5,2010
Adanelly,F,1,2011,5,2010
Addeline,F,1,2011,5,2010
Adianna,F,1,2011,6,2010
Adyline,F,1,2011,5,2010
Aideen,M,1,2011,5,2010
Alaila,F,1,2011,5,2010
Aleanna,F,1,2011,5,2010
Alezander,M,1,2011,5,2010
Aliyanah,F,1,2011,6,2010
Ambrie,F,1,2011,6,2010
Analeigha,F,1,2011,5,2010
Analena,F,1,2011,6,2010
Analisse,F,1,2011,6,2010
Anara,F,1,2011,5,2010
Angeliyah,F,1,2011,6,2010
Annelyse,F,1,2011,5,2010
Arafat,M,1,2011,6,2010
Arley,F,1,2011,6,2010
Avagrace,F,1,2011,5,2010
Axzel,M,1,2011,5,2010
Baylin,F,1,2011,5,2010
Beckem,M,1,2011,6,2010
Biana,F,1,2011,5,2010
Bless,F,1,2011,5,2010
Bodhi,F,1,2011,6,2010
Breelynn,F,1,2011,7,2010
Breken,M,1,2011,7,2010
Bronner,M,1,2011,5,2010
Brylen,F,1,2011,5,2010
Caelum,M,1,2011,5,2010
Castin,M,1,2011,5,2010
Chasya,F,1,2011,5,2010
Chetan,M,1,2011,6,2010
Cinch,M,1,2011,5,2010
Courtlynn,F,1,2011,5,2010
Cung,M,1,2011,5,2010
Cylis,M,1,2011,6,2010
Dagmawi,M,1,2011,5,2010
Daksha,F,1,2011,5,2010
Dariella,F,1,2011,5,2010
Davinah,F,1,2011,5,2010
Daylen,F,1,2011,5,2010
Debanhy,F,1,2011,6,2010
Destan,M,1,2011,5,2010
Dhwani,F,1,2011,5,2010
Dim,F,1,2011,5,2010
Dominik,F,1,2011,5,2010
Draiden,M,1,2011,5,2010
Draizy,F,1,2011,6,2010
Eleora,F,1,2011,5,2010
Ellamarie,F,1,2011,7,2010
Emanuella,F,1,2011,5,2010
Embree,F,1,2011,5,2010
Emmaclaire,F,1,2011,5,2010
Emmelia,F,1,2011,6,2010
Exzavier,M,1,2011,5,2010
Gaspard,M,1,2011,5,2010
Genendy,F,1,2011,5,2010
Geraldy,F,1,2011,6,2010
Gredmarie,F,1,2011,6,2010
Harkirat,M,1,2011,5,2010
Hassani,M,1,2011,5,2010
Henoch,M,1,2011,6,2010
Hindel,F,1,2011,5,2010
Ismaila,M,1,2011,6,2010
Izaiyah,M,1,2011,6,2010
Izumi,F,1,2011,5,2010
Jaedynn,F,1,2011,5,2010
Jahiya,F,1,2011,6,2010
Jahkari,M,1,2011,6,2010
Jamylah,F,1,2011,5,2010
Jansel,M,1,2011,6,2010
Janthony,M,1,2011,6,2010
Jarden,M,1,2011,5,2010
Javery,M,1,2011,5,2010
Jazariyah,F,1,2011,5,2010
Jeily,F,1,2011,6,2010
Jeremiyah,M,1,2011,5,2010
Jerlyn,F,1,2011,5,2010
Jeziel,M,1,2011,5,2010
Jhamari,M,1,2011,7,2010
Jocell,F,1,2011,6,2010
Jonan,M,1,2011,6,2010
Jonhatan,M,1,2011,5,2010
Jorley,F,1,2011,11,2010
Joselle,F,1,2011,5,2010
Jrake,M,1,2011,5,2010
Juliani,M,1,2011,10,2010
Kahmari,M,1,2011,5,2010
Kaimalu,M,1,2011,5,2010
Kaizlee,F,1,2011,6,2010
Kallyn,F,1,2011,6,2010
Kamareon,M,1,2011,5,2010
Kamyia,F,1,2011,5,2010
Karder,M,1,2011,5,2010
Karthika,F,1,2011,5,2010
Kashish,F,1,2011,5,2010
Kashlynn,F,1,2011,5,2010
Keeland,M,1,2011,5,2010
Kenechukwu,M,1,2011,6,2010
Kenniyah,F,1,2011,6,2010
Keyonni,F,1,2011,5,2010
Koi,F,1,2011,5,2010
Kolsen,M,1,2011,6,2010
Kritika,F,1,2011,5,2010
Laksmi,F,1,2011,5,2010
Langdon,M,1,2011,5,2010
Langston,F,1,2011,5,2010
Lawaia,M,1,2011,5,2010
Lexii,F,1,2011,5,2010
Lorali,F,1,2011,5,2010
Loralye,F,1,2011,5,2010
Luka,F,1,2011,5,2010
Luxe,F,1,2011,6,2010
Lynleigh,F,1,2011,5,2010
Maesyn,F,1,2011,8,2010
Mahreen,F,1,2011,5,2010
Majesty,M,1,2011,6,2010
Mansour,M,1,2011,6,2010
Marvion,M,1,2011,5,2010
Matisyahu,M,1,2011,5,2010
Mattingly,F,1,2011,5,2010
Mckenzye,F,1,2011,5,2010
Meilyn,F,1,2011,5,2010
Menasha,M,1,2011,5,2010
Mikaeel,M,1,2011,5,2010
Mileah,F,1,2011,7,2010
Mileidy,F,1,2011,15,2010
Mileydi,F,1,2011,11,2010
Minnah,F,1,2011,5,2010
Miyonna,F,1,2011,6,2010
Momina,F,1,2011,5,2010
Mukhtar,M,1,2011,5,2010
Mukund,M,1,2011,5,2010
Mylan,F,1,2011,5,2010
Naiara,F,1,2011,5,2010
Namish,M,1,2011,5,2010
Naoki,M,1,2011,5,2010
Navah,F,1,2011,5,2010
Navina,F,1,2011,6,2010
Neriyah,F,1,2011,5,2010
Nevah,F,1,2011,5,2010
Nhyla,F,1,2011,5,2010
Nishan,M,1,2011,5,2010
Nixie,F,1,2011,7,2010
Nylia,F,1,2011,5,2010
Oviya,F,1,2011,7,2010
Ozil,M,1,2011,5,2010
Paisyn,F,1,2011,5,2010
Prabhleen,F,1,2011,5,2010
Quinley,F,1,2011,5,2010
Ranbir,M,1,2011,7,2010
Randiel,M,1,2011,6,2010
Ravleen,F,1,2011,5,2010
Raydel,M,1,2011,6,2010
Rayhona,F,1,2011,5,2010
Rei,F,1,2011,5,2010
Rinoa,F,1,2011,5,2010
Rjay,M,1,2011,5,2010
Rokia,F,1,2011,5,2010
Romano,M,1,2011,5,2010
Ruqaya,F,1,2011,5,2010
Ryleeann,F,1,2011,5,2010
Safi,M,1,2011,5,2010
Sahori,F,1,2011,5,2010
Saliyah,F,1,2011,5,2010
Samanyu,M,1,2011,5,2010
Sarae,F,1,2011,5,2010
Shalva,F,1,2011,5,2010
Shneor,M,1,2011,5,2010
Shraddha,F,1,2011,5,2010
Siler,M,1,2011,5,2010
Simarpreet,F,1,2011,5,2010
Smrithi,F,1,2011,5,2010
Sonakshi,F,1,2011,5,2010
Syire,M,1,2011,5,2010
Tamim,M,1,2011,6,2010
Taytum,M,1,2011,5,2010
Traxton,M,1,2011,5,2010
Tynleigh,F,1,2011,5,2010
Uziah,M,1,2011,5,2010
Vedansh,M,1,2011,5,2010
Xolani,F,1,2011,5,2010
Yavuz,M,1,2011,5,2010
Yeraldine,F,1,2011,6,2010
Yuriel,M,1,2011,5,2010
Yussef,M,1,2011,5,2010
Zaakir,M,1,2011,5,2010
Zacari,M,1,2011,5,2010
Zacaria,F,1,2011,5,2010
Zailee,F,1,2011,5,2010
Zanaria,F,1,2011,5,2010
Zaniel,M,1,2011,5,2010
Zaydrian,M,1,2011,6,2010
Zein,M,1,2011,5,2010
Zeltzin,F,1,2011,5,2010
Zuleidy,F,1,2011,5,2010
Aayat,F,1,2012,7,2010
Abdirahim,M,1,2012,5,2010
Abdishakur,M,1,2012,5,2010
Abiha,F,1,2012,7,2010
Abri,F,1,2012,6,2010
Adanely,F,1,2012,8,2010
Adelai,F,1,2012,5,2010
Adessa,F,1,2012,5,2010
Adiana,F,1,2012,6,2010
Adler,F,1,2012,5,2010
Adrick,M,1,2012,5,2010
Aidynn,F,1,2012,6,2010
Aina,F,1,2012,7,2010
Aivy,F,1,2012,5,2010
Ajahni,M,1,2012,5,2010
Alie,F,1,2012,5,2010
Amare,F,1,2012,6,2010
Amarri,M,1,2012,5,2010
Ameli,F,1,2012,5,2010
Ameliya,F,1,2012,5,2010
Ames,M,1,2012,10,2010
Amiliana,F,1,2012,6,2010
Anaily,F,1,2012,6,2010
Anamika,F,1,2012,6,2010
Anayla,F,1,2012,5,2010
Anella,F,1,2012,7,2010
Angelinne,F,1,2012,5,2010
Anvay,M,1,2012,5,2010
Aquinnah,F,1,2012,6,2010
Arcangel,M,1,2012,6,2010
Arfa,F,1,2012,7,2010
Ariannie,F,1,2012,5,2010
Aryia,F,1,2012,5,2010
Arynn,F,1,2012,5,2010
Asani,M,1,2012,5,2010
Athos,M,1,2012,5,2010
Atiksh,M,1,2012,6,2010
Aubriel,F,1,2012,6,2010
Audi,M,1,2012,5,2010
Audreyana,F,1,2012,6,2010
Augustas,M,1,2012,5,2010
Auguste,M,1,2012,5,2010
Aydeen,M,1,2012,5,2010
Ayeden,M,1,2012,5,2010
Aysel,F,1,2012,6,2010
Azhar,F,1,2012,5,2010
Azion,M,1,2012,6,2010
Baran,F,1,2012,6,2010
Basem,M,1,2012,5,2010
Bashy,F,1,2012,5,2010
Baylei,F,1,2012,8,2010
Bentlie,M,1,2012,5,2010
Blakleigh,F,1,2012,5,2010
Brealynn,F,1,2012,5,2010
Brek,M,1,2012,5,2010
Brentley,F,1,2012,5,2010
Breslin,F,1,2012,7,2010
Brinklee,F,1,2012,5,2010
Bryor,M,1,2012,5,2010
Brysun,M,1,2012,5,2010
Calise,F,1,2012,5,2010
Catalia,F,1,2012,7,2010
Champion,M,1,2012,5,2010
Coalton,M,1,2012,7,2010
Copper,M,1,2012,8,2010
Coralynn,F,1,2012,5,2010
Damiah,F,1,2012,5,2010
Daxx,M,1,2012,5,2010
Decklan,M,1,2012,5,2010
Delayne,F,1,2012,5,2010
Delaynie,F,1,2012,5,2010
Derrianna,F,1,2012,5,2010
Dezi,F,1,2012,5,2010
Dianelly,F,1,2012,8,2010
Dianely,F,1,2012,5,2010
Drayson,M,1,2012,5,2010
Edahi,M,1,2012,6,2010
Edrik,M,1,2012,5,2010
Eleanna,F,1,2012,5,2010
Elijahjames,M,1,2012,5,2010
Eniola,F,1,2012,5,2010
Escher,M,1,2012,5,2010
Esmie,F,1,2012,7,2010
Evalette,F,1,2012,5,2010
Fabianna,F,1,2012,8,2010
Fahd,M,1,2012,5,2010
Fajr,F,1,2012,5,2010
Fender,M,1,2012,5,2010
Frimmy,F,1,2012,5,2010
Galya,F,1,2012,5,2010
Ghadeer,F,1,2012,5,2010
Giordan,M,1,2012,5,2010
Graycen,M,1,2012,5,2010
Harsha,M,1,2012,7,2010
Hibba,F,1,2012,5,2010
Hiya,F,1,2012,5,2010
Ilany,F,1,2012,5,2010
Izacc,M,1,2012,5,2010
Izaria,F,1,2012,5,2010
Izekiel,M,1,2012,5,2010
Jabraylen,M,1,2012,6,2010
Jamoni,M,1,2012,7,2010
Jasiya,F,1,2012,7,2010
Javaeh,F,1,2012,5,2010
Javel,M,1,2012,5,2010
Javonni,M,1,2012,5,2010
Jayanthony,M,1,2012,7,2010
Jaymar,M,1,2012,5,2010
Jazzy,F,1,2012,5,2010
Jedi,M,1,2012,6,2010
Jeniel,M,1,2012,6,2010
Jiayi,F,1,2012,6,2010
Jimin,F,1,2012,6,2010
Jonier,F,1,2012,6,2010
Jovonni,M,1,2012,5,2010
Kailia,F,1,2012,6,2010
Kalden,M,1,2012,5,2010
Kamarri,M,1,2012,5,2010
Kamberlyn,F,1,2012,5,2010
Kamoria,F,1,2012,5,2010
Kanaloa,M,1,2012,5,2010
Kanna,F,1,2012,6,2010
Kariyah,F,1,2012,5,2010
Karlin,M,1,2012,5,2010
Karma,M,1,2012,7,2010
Kavari,M,1,2012,5,2010
Kayelee,F,1,2012,5,2010
Kayson,F,1,2012,7,2010
Keileigh,F,1,2012,5,2010
Keslyn,F,1,2012,5,2010
Kessler,M,1,2012,8,2010
Khodee,M,1,2012,5,2010
Khyli,F,1,2012,5,2010
Kirubel,M,1,2012,8,2010
Kortlynn,F,1,2012,6,2010
Kowen,M,1,2012,5,2010
Kulia,F,1,2012,5,2010
Kyiah,F,1,2012,5,2010
Kylen,F,1,2012,5,2010
Kyzer,M,1,2012,5,2010
Laiyla,F,1,2012,5,2010
Laksh,M,1,2012,5,2010
Lean,M,1,2012,5,2010
Leeam,M,1,2012,5,2010
Leeon,M,1,2012,6,2010
Liannah,F,1,2012,6,2010
Lilikoi,F,1,2012,8,2010
Lilyanah,F,1,2012,6,2010
Lorianna,F,1,2012,6,2010
Lyrica,F,1,2012,5,2010
Maciah,M,1,2012,5,2010
Mairim,F,1,2012,5,2010
Maleigh,F,1,2012,5,2010
Manessa,F,1,2012,7,2010
Maryella,F,1,2012,5,2010
Miaisabella,F,1,2012,5,2010
Mills,M,1,2012,5,2010
Minha,F,1,2012,5,2010
Mirai,F,1,2012,5,2010
Mouhamad,M,1,2012,5,2010
Muaad,M,1,2012,6,2010
Myles,F,1,2012,5,2010
Mylin,F,1,2012,5,2010
Naailah,F,1,2012,5,2010
Naika,F,1,2012,5,2010
Naviah,F,1,2012,6,2010
Nayleah,F,1,2012,6,2010
Nazeli,F,1,2012,5,2010
Nazly,F,1,2012,6,2010
Ngawang,M,1,2012,5,2010
Nicasio,M,1,2012,7,2010
Nilani,F,1,2012,5,2010
Novak,M,1,2012,8,2010
Nusaiba,F,1,2012,8,2010
Nyari,F,1,2012,7,2010
Orchid,F,1,2012,5,2010
Packer,M,1,2012,5,2010
Paitynn,F,1,2012,5,2010
Paxon,M,1,2012,5,2010
Pecos,M,1,2012,5,2010
Peytin,F,1,2012,5,2010
Philopateer,M,1,2012,5,2010
Porter,F,1,2012,6,2010
Radin,M,1,2012,7,2010
Rafan,M,1,2012,5,2010
Rakin,M,1,2012,5,2010
Rawley,M,1,2012,5,2010
Rayaan,F,1,2012,6,2010
Rayansh,M,1,2012,5,2010
Raziah,F,1,2012,6,2010
Rhylin,F,1,2012,5,2010
Rilee,M,1,2012,5,2010
Rilyn,M,1,2012,5,2010
Rivaan,M,1,2012,5,2010
Riyad,M,1,2012,6,2010
Rohaan,M,1,2012,5,2010
Rollins,M,1,2012,5,2010
Rubee,F,1,2012,5,2010
Rutledge,M,1,2012,5,2010
Rydan,M,1,2012,5,2010
Ryenn,F,1,2012,5,2010
Saahir,M,1,2012,5,2010
Saathvik,M,1,2012,5,2010
Sadiee,F,1,2012,5,2010
Sahmir,M,1,2012,5,2010
Sarrinah,F,1,2012,5,2010
Sayana,F,1,2012,5,2010
Sevinch,F,1,2012,5,2010
Shailen,M,1,2012,5,2010
Siennah,F,1,2012,5,2010
Skyelynn,F,1,2012,5,2010
Somya,F,1,2012,5,2010
Sophiah,F,1,2012,6,2010
Soul,M,1,2012,5,2010
Starlee,F,1,2012,5,2010
Swayzie,F,1,2012,6,2010
Tahitoa,M,1,2012,5,2010
Taisley,F,1,2012,5,2010
Taitum,F,1,2012,5,2010
Tenleigh,F,1,2012,5,2010
Tensley,F,1,2012,6,2010
Theadora,F,1,2012,7,2010
Tsion,F,1,2012,5,2010
Tyion,M,1,2012,7,2010
Umaiza,F,1,2012,5,2010
Uriyah,F,1,2012,5,2010
Vanness,M,1,2012,5,2010
Vicktoria,F,1,2012,5,2010
Vidushi,F,1,2012,5,2010
Viren,M,1,2012,5,2010
Vuk,M,1,2012,5,2010
Vung,F,1,2012,5,2010
Whit,M,1,2012,6,2010
Xian,M,1,2012,12,2010
Yailene,F,1,2012,5,2010
Yalexi,F,1,2012,5,2010
Yanna,F,1,2012,5,2010
Yasirah,F,1,2012,5,2010
Yegor,M,1,2012,5,2010
Yerick,M,1,2012,5,2010
Yuan,F,1,2012,5,2010
Yuhan,F,1,2012,6,2010
Zaheer,M,1,2012,7,2010
Zailynn,F,1,2012,10,2010
Zayley,F,1,2012,5,2010
Zemirah,F,1,2012,5,2010
Zeyad,M,1,2012,6,2010
Zniyah,F,1,2012,5,2010
Zo,F,1,2012,8,2010
Aaima,F,1,2013,5,2010
Abeeha,F,1,2013,6,2010
Abenezer,M,1,2013,5,2010
Aberdeen,F,1,2013,5,2010
Adabelle,F,1,2013,7,2010
Adalae,F,1,2013,6,2010
Aerilyn,F,1,2013,5,2010
Ahliyah,F,1,2013,5,2010
Aivah,F,1,2013,5,2010
Aiyla,F,1,2013,5,2010
Aizlynn,F,1,2013,6,2010
Aleksia,F,1,2013,5,2010
Amarii,F,1,2013,6,2010
Amberlin,F,1,2013,5,2010
Amberrose,F,1,2013,5,2010
Amiree,F,1,2013,8,2010
Annalucia,F,1,2013,5,2010
Annarose,F,1,2013,5,2010
Antigone,F,1,2013,5,2010
Aoi,F,1,2013,5,2010
Arias,M,1,2013,6,2010
Arienne,F,1,2013,7,2010
Ariv,M,1,2013,5,2010
Ascher,M,1,2013,6,2010
Audris,F,1,2013,8,2010
Aum,M,1,2013,5,2010
Aurelie,F,1,2013,5,2010
Autzen,M,1,2013,6,2010
Averly,F,1,2013,5,2010
Aviella,F,1,2013,6,2010
Avri,F,1,2013,5,2010
Avyn,F,1,2013,7,2010
Ayson,M,1,2013,7,2010
Ayyub,M,1,2013,5,2010
Azazel,M,1,2013,7,2010
Azyria,F,1,2013,6,2010
Baelyn,F,1,2013,5,2010
Balthazar,M,1,2013,5,2010
Bani,F,1,2013,6,2010
Basil,F,1,2013,5,2010
Batool,F,1,2013,5,2010
Bauer,M,1,2013,5,2010
Bayan,M,1,2013,5,2010
Beren,F,1,2013,6,2010
Blakelynn,F,1,2013,5,2010
Blue,F,1,2013,7,2010
Braedyn,F,1,2013,5,2010
Braxston,M,1,2013,5,2010
Brecklynn,F,1,2013,5,2010
Breelle,F,1,2013,5,2010
Bristal,F,1,2013,5,2010
Britten,M,1,2013,5,2010
Brodyn,M,1,2013,5,2010
Caellum,M,1,2013,5,2010
Cai,F,1,2013,5,2010
Calirose,F,1,2013,9,2010
Calisi,F,1,2013,6,2010
Cassiel,M,1,2013,6,2010
Cataleah,F,1,2013,6,2010
Cataleyah,F,1,2013,7,2010
Chaitra,F,1,2013,5,2010
Chatham,M,1,2013,5,2010
Cheveyo,M,1,2013,5,2010
Chuna,M,1,2013,5,2010
Cici,F,1,2013,7,2010
Collyns,F,1,2013,8,2010
Dalexa,F,1,2013,5,2010
Damoni,F,1,2013,5,2010
Darionna,F,1,2013,5,2010
Davier,M,1,2013,5,2010
Delsa,F,1,2013,6,2010
Deston,M,1,2013,5,2010
Dilraj,M,1,2013,7,2010
Diyora,F,1,2013,6,2010
Dodger,M,1,2013,5,2010
Eames,M,1,2013,5,2010
Eashan,M,1,2013,5,2010
Ebubechukwu,M,1,2013,6,2010
Edris,M,1,2013,6,2010
Eidan,M,1,2013,8,2010
Ej,M,1,2013,5,2010
Eleah,F,1,2013,6,2010
Elih,M,1,2013,5,2010
Eliyana,F,1,2013,8,2010
Ellanore,F,1,2013,5,2010
Ellayna,F,1,2013,6,2010
Emmalia,F,1,2013,5,2010
Emmalynne,F,1,2013,6,2010
Emmilyn,F,1,2013,5,2010
Emunah,F,1,2013,5,2010
Eydan,M,1,2013,5,2010
Eztli,F,1,2013,5,2010
Faithlyn,F,1,2013,5,2010
Farzeen,F,1,2013,5,2010
Fatin,M,1,2013,5,2010
Gali,F,1,2013,5,2010
Galiana,F,1,2013,5,2010
Gatlyn,M,1,2013,5,2010
Getzel,M,1,2013,5,2010
Graceson,M,1,2013,5,2010
Gradyn,M,1,2013,5,2010
Grason,M,1,2013,6,2010
Gurtaaj,M,1,2013,5,2010
Hade,F,1,2013,5,2010
Halleigh,F,1,2013,6,2010
Hamdan,M,1,2013,5,2010
Hamish,M,1,2013,5,2010
Hamse,M,1,2013,5,2010
Haniyah,F,1,2013,5,2010
Hannahgrace,F,1,2013,5,2010
Harbor,F,1,2013,7,2010
Harmonii,F,1,2013,6,2010
Holston,M,1,2013,5,2010
Hudsyn,M,1,2013,5,2010
Iaan,M,1,2013,5,2010
Ilihia,F,1,2013,5,2010
Inioluwa,F,1,2013,6,2010
Io,F,1,2013,5,2010
Irany,F,1,2013,5,2010
Isabeau,F,1,2013,5,2010
Iviana,F,1,2013,5,2010
Izelle,F,1,2013,5,2010
Jaceion,M,1,2013,5,2010
Jahlon,M,1,2013,5,2010
Jailia,F,1,2013,5,2010
Jak,M,1,2013,5,2010
Jaleigha,F,1,2013,5,2010
Jamyri,F,1,2013,6,2010
Jasraj,M,1,2013,8,2010
Jaycelynn,F,1,2013,5,2010
Jaydeen,M,1,2013,7,2010
Jayin,M,1,2013,5,2010
Jaylei,F,1,2013,5,2010
Jensyn,F,1,2013,6,2010
Jewelz,F,1,2013,5,2010
Jeylah,F,1,2013,5,2010
Jiaqi,F,1,2013,5,2010
Jillianna,F,1,2013,5,2010
Jishnu,M,1,2013,5,2010
Jj,M,1,2013,5,2010
Joakim,M,1,2013,5,2010
Jontrell,M,1,2013,5,2010
Jonylah,F,1,2013,5,2010
Journii,F,1,2013,5,2010
Jurnie,F,1,2013,5,2010
Kaedance,F,1,2013,5,2010
Kaede,F,1,2013,8,2010
Kamsiyochukwu,M,1,2013,7,2010
Karsynn,F,1,2013,7,2010
Kaselyn,F,1,2013,7,2010
Kassius,M,1,2013,9,2010
Kataleyah,F,1,2013,6,2010
Kayce,M,1,2013,6,2010
Kayceon,M,1,2013,5,2010
Kayleeann,F,1,2013,5,2010
Kayvion,M,1,2013,5,2010
Keaden,M,1,2013,5,2010
Kemily,F,1,2013,5,2010
Keylani,F,1,2013,5,2010
Khadra,F,1,2013,5,2010
Khamila,F,1,2013,7,2010
Khyleigh,F,1,2013,5,2010
Khyrie,M,1,2013,5,2010
Kinnick,F,1,2013,5,2010
Kinzee,F,1,2013,5,2010
Koah,M,1,2013,6,2010
Kollins,F,1,2013,6,2010
Kornelia,F,1,2013,5,2010
Kree,M,1,2013,5,2010
Kseniya,F,1,2013,5,2010
Kyndall,M,1,2013,5,2010
Kyo,M,1,2013,5,2010
Kyrian,M,1,2013,5,2010
Laityn,F,1,2013,5,2010
Lawayne,M,1,2013,7,2010
Lenya,F,1,2013,5,2010
Lesieli,F,1,2013,6,2010
Lillybeth,F,1,2013,5,2010
Lilou,F,1,2013,5,2010
Lilyona,F,1,2013,5,2010
Lion,M,1,2013,6,2010
Livi,F,1,2013,6,2010
Lochlann,M,1,2013,5,2010
Loghan,F,1,2013,6,2010
Lorik,M,1,2013,5,2010
