grade,n,default_rate
A,66886,0.06881858684926591
B,114785,0.15627477457855993
C,111454,0.25327040752238594
D,54883,0.3464278556201374
E,24302,0.43107563163525636
F,8567,0.5238706665110306
G,2325,0.5733333333333334
