young_borrower,grade,n,default_rate
FALSE,A,60043,0.06841763402894592
FALSE,B,97196,0.15546936087904853
FALSE,C,91197,0.2521025910940053
FALSE,D,44297,0.3426417138858162
FALSE,E,19310,0.42936302433972034
FALSE,F,6805,0.5213813372520206
FALSE,G,1771,0.572557876905703
TRUE,A,6843,0.07233669443226655
TRUE,B,17589,0.16072545340838024
TRUE,C,20257,0.25852791627585525
TRUE,D,10586,0.3622709238617041
TRUE,E,4992,0.43770032051282054
TRUE,F,1762,0.5334846765039728
TRUE,G,554,0.575812274368231
