dti_bucket,n,default_rate
0-5,19605,0.1693955623565417
5-10,48750,0.1674051282051282
10-15,74676,0.18601692645562162
15-20,79480,0.2115500754906895
20-25,67092,0.24069933822214273
25-30,49716,0.27852200498833374
30-35,30001,0.3160561314622846
35-40,10123,0.32075471698113206
40-45,1573,0.34011443102352196
45-50,947,0.3558606124604013
50-55,238,0.24789915966386555
55-60,199,0.22613065326633167
60+,440,0.25
