emp_length_bucket,n,default_rate
< 1 year,29754,0.22820461114472004
1-3 years,92116,0.23028572669243128
4-6 years,62680,0.2221761327377154
7-9 years,43982,0.22015824655540903
10+ years,129114,0.20725870161252846
